Time,Z-stack,Microns,Intensity,Cell
38,0,0,874.934,2
38,1,2.49796,1900.057,2
38,2,4.99592,2375.695,2
38,3,7.49389,2187.018,2
38,4,9.99185,1215.822,2
39,0,0,905.196,2
39,1,2.49796,2025.273,2
39,2,4.99592,2625.235,2
39,3,7.49389,2007.967,2
39,4,9.99185,1129.034,2
40,0,0,941.814,2
40,1,2.49796,2132.827,2
40,2,4.99592,2868.421,2
40,3,7.49389,2096.497,2
40,4,9.99185,1087.107,2
41,0,0,778.559,2
41,1,2.49796,1954.874,2
41,2,4.99592,2443.197,2
41,3,7.49389,1953.677,2
41,4,9.99185,953.348,2
42,0,0,691.158,2
42,1,2.49796,1700.055,2
42,2,4.99592,2362.308,2
42,3,7.49389,1775.308,2
42,4,9.99185,1030.681,2
43,0,0,629.616,2
43,1,2.49796,1568.687,2
43,2,4.99592,2279.816,2
43,3,7.49389,1816.047,2
43,4,9.99185,1140.427,2
44,0,0,571.858,2
44,1,2.49796,1402.908,2
44,2,4.99592,2164.377,2
44,3,7.49389,1850.898,2
44,4,9.99185,1107.446,2
45,0,0,525.69,2
45,1,2.49796,1389.682,2
45,2,4.99592,2102.566,2
45,3,7.49389,1802.498,2
45,4,9.99185,1130.098,2
46,0,0,468,2
46,1,2.49796,1222.423,2
46,2,4.99592,1911.071,2
46,3,7.49389,1692.399,2
46,4,9.99185,1057.824,2
47,0,0,485.298,2
47,1,2.49796,1263.61,2
47,2,4.99592,2109.369,2
47,3,7.49389,1680.729,2
47,4,9.99185,1021.706,2
48,0,0,491.852,2
48,1,2.49796,1310.459,2
48,2,4.99592,1939.835,2
48,3,7.49389,1692.932,2
48,4,9.99185,1177.669,2
49,0,0,474.376,2
49,1,2.49796,1284.666,2
49,2,4.99592,1948.98,2
49,3,7.49389,1618.147,2
49,4,9.99185,1144.911,2
1,0,0,335.608,3
1,1,2.49796,355.912,3
1,2,4.99592,413.571,3
1,3,7.49389,452.057,3
1,4,9.99185,516.613,3
2,0,0,368.023,3
2,1,2.49796,380.325,3
2,2,4.99592,438.642,3
2,3,7.49389,463.578,3
2,4,9.99185,502.235,3
3,0,0,387.882,3
3,1,2.49796,397.3457,3
3,2,4.99592,426.548,3
3,3,7.49389,452.8513,3
3,4,9.99185,486.4761,3
4,0,0,380.607,3
4,1,2.49796,402.3628,3
4,2,4.99592,405.8678,3
4,3,7.49389,470.2113,3
4,4,9.99185,471.0531,3
5,0,0,379.6643,3
5,1,2.49796,379.7812,3
5,2,4.99592,383.5147,3
5,3,7.49389,441.3651,3
5,4,9.99185,432.7449,3
6,0,0,357.4788,3
6,1,2.49796,375.0342,3
6,2,4.99592,342.4976,3
6,3,7.49389,386.6245,3
6,4,9.99185,398.0968,3
7,0,0,351.9767,3
7,1,2.49796,368.672,3
7,2,4.99592,338.3259,3
7,3,7.49389,374.9837,3
7,4,9.99185,373.1261,3
8,0,0,334.962,3
8,1,2.49796,377.9875,3
8,2,4.99592,343.7534,3
8,3,7.49389,348.668,3
8,4,9.99185,350.9657,3
9,0,0,321.5558,3
9,1,2.49796,384.7084,3
9,2,4.99592,351.2164,3
9,3,7.49389,360.3565,3
9,4,9.99185,331.472,3
10,0,0,328.5306,3
10,1,2.49796,373.9591,3
10,2,4.99592,342.708,3
10,3,7.49389,339.9377,3
10,4,9.99185,322.3427,3
11,0,0,314.0893,3
11,1,2.49796,377.8518,3
11,2,4.99592,332.5549,3
11,3,7.49389,302.8584,3
11,4,9.99185,295.1284,3
12,0,0,322.199,3
12,1,2.49796,422.766,3
12,2,4.99592,374.466,3
12,3,7.49389,345.611,3
12,4,9.99185,327.026,3
13,0,0,329.121,3
13,1,2.49796,444.783,3
13,2,4.99592,378.921,3
13,3,7.49389,358.677,3
13,4,9.99185,353.903,3
14,0,0,335.2702,3
14,1,2.49796,425.2368,3
14,2,4.99592,399.4998,3
14,3,7.49389,376.5371,3
14,4,9.99185,358.8659,3
15,0,0,327.422,3
15,1,2.49796,432.707,3
15,2,4.99592,390.797,3
15,3,7.49389,377.612,3
15,4,9.99185,392.644,3
16,0,0,331.296,3
16,1,2.49796,441.761,3
16,2,4.99592,423.154,3
16,3,7.49389,420.542,3
